"name","address","gmap_id","description","category","avg_rating","num_of_reviews","price","hours","MISC","state"
"Fast Funds Lawsuit Cash Advances","","0x88d9c7086963457b:0xd27ecdbe17ff2706","","['Loan agency', 'Service establishment']","5.0","8","","[['Wednesday', '8AM–9PM'], ['Thursday', '8AM–9PM'], ['Friday', '8AM–9PM'], ['Saturday', '11AM–5PM'], ['Sunday', '11AM–5PM'], ['Monday', '8AM–9PM'], ['Tuesday', '8AM–9PM']]","{'Service options': ['Online appointments'], 'Health & safety': ['Appointment required', 'Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits']}","Closed ⋅ Opens 8AM Thu"
"Naknek Family Fisheries","","0x56e7db2ef389d417:0x7f05543be7b6696a","","['Seafood wholesaler', 'Distribution service', 'Service establishment', 'Wholesaler']","5.0","1","","[['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', '7AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed']]","","Closed ⋅ Opens 7AM Fri"
"Alternative Offroad, Inc","","0x80c29dd709d02059:0x6e7d1dfbe9bd3293","","['ATV dealer', 'Service establishment']","4.5","18","","[['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–2PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM']]","","Closed ⋅ Opens 9AM Thu"
"Homary","","0x80c33566ca8de35f:0x37ac3d2b82477e09","","['Furniture store', 'Service establishment']","1.0","7","","[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]","","Open 24 hours"
"Alexander Sandwich Moistener Consulting (ASMC)","","0x54ae57d7f06c1003:0x34c2a8085829aa60","","['Consultant', 'Service establishment']","5.0","1","","[['Wednesday', '5AM–2PM'], ['Thursday', '5AM–2PM'], ['Friday', '5AM–2PM'], ['Saturday', '5AM–2PM'], ['Sunday', '5AM–2PM'], ['Monday', 'Closed'], ['Tuesday', '5AM–2PM']]","","Closed ⋅ Opens 5AM Thu"
"Rainbow International Of Central El Paso","","0x86e7599e639e77d3:0x789fcd31d212a69e","","['Water damage restoration service', 'Service establishment']","3.5","5","","[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]","","Open 24 hours"
"Mix Major - Electronic Music School","","0x89b64806fedaaaab:0x2b43ebb391ac4622","","['Music school', 'Service establishment']","5.0","28","","","{'Service options': ['Online classes']}",""
"Leslie Carbajal Photography","","0x7c006f4cb974a3e1:0xae116dec0797ec89","","['Photographer', 'Service establishment']","4.8","28","","[['Wednesday', '8AM–7PM'], ['Thursday', '8AM–7PM'], ['Friday', '8AM–7PM'], ['Saturday', '9AM–7PM'], ['Sunday', '10AM–6PM'], ['Monday', '8AM–7PM'], ['Tuesday', '8AM–7:30PM']]","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led']}","Opens soon ⋅ 8AM"
"Mike Cummings - Independent Dealer of AMSOIL® Synthetics","","0x80c8e9fed6339605:0xab54819296381ff0","","['Oil wholesaler', 'Service establishment', 'Oil store']","4.6","8","","[['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '8AM–6PM'], ['Sunday', '8AM–6PM'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM']]","","Open ⋅ Closes 6PM"
"Bridgman Content","","0x87d57e266fc70f8d:0xd88813af77aa0b14","","['Internet marketing service', 'Advertising agency', 'Service establishment', 'Public relations firm', 'Website designer']","4.0","1","","[['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM']]","","Closed ⋅ Opens 8AM"
"American Leak Detection of Wilkes-Barre","","0x89c50574b9e9c7e3:0x10dbdf414b29f680","","['Swimming pool repair service', 'Service establishment', 'Plumber']","2.5","2","","[['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM']]","","Closed ⋅ Opens 8AM"
"Five Or Free Electrical Solutions","","0x80857df70ffb8bd9:0x4280410e902aba71","","['Electrician', 'Service establishment']","4.3","17","","[['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '10AM–4PM'], ['Sunday', 'Closed'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM']]","","Closed ⋅ Opens 8AM"
"Spirit Connections with Brianna","","0x89c4a1dd4dbabfe7:0xba114671efb629fa","","['Psychic', 'Service establishment', 'Reiki therapist']","5.0","4","","[['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM']]","{'From the business': ['Identifies as women-led']}","Closed ⋅ Opens 10AM"
"Rockstar Vuitton","","0x80c2c103b679a281:0x10bd017cca3e3a13","","['Music producer', 'Service establishment', 'Music publisher']","5.0","13","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","{'From the business': ['Identifies as Black-owned']}","Open 24 hours"
"Airstream Innovations, Inc.","","0x80dc0ed49bec5555:0x26ea9d389835416a","","['Manufacturer', 'Agricultural service', 'Service establishment']","2.0","4","","[['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM']]","","Open ⋅ Closes 5PM"
"Conte Billiards & Games","","0x89d9470242676595:0xedefa74c66749253","","['Billiards supply store', 'Dart supply store', 'Service establishment', 'Table tennis supply store']","4.7","8","","[['Tuesday', '8:30AM–4:30PM'], ['Wednesday', '8:30AM–4:30PM'], ['Thursday', '8:30AM–4:30PM'], ['Friday', '8:30AM–4:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–4:30PM']]","{'Service options': ['Delivery'], 'Payments': ['Checks', 'Debit cards', 'Credit cards']}","Open ⋅ Closes 4:30PM"
"Distracted Driving Device","","0x88ded7b5c2c995ad:0xb0c114770579e806","","['Research and product development', 'Service establishment', 'Training centre']","5.0","1","","","",""
"Advertise-it","","0x80dbe9d8b8a75137:0xd6e3f8a590a5c774","","['Classified ads newspaper publisher', 'Business to business service', 'Service establishment']","5.0","1","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","","Open 24 hours"
"The Dachshund Lover Store","","0x88e7d1986efcd567:0x927e07b6d5e7b3d5","","['Pet store', 'Service establishment', 'Hypermarket', 'Pet supply store']","4.0","1","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","","Open 24 hours"
"Limo Express","","0x883b339f4417af3f:0xedfd3a2a26f199a2","","['Transportation service', 'Service establishment']","3.0","5","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","","Open 24 hours"
"Industry Arabic Translation Services","","0x89b7b94e43b3d807:0x8cc2b354fc6aad0f","","['Translator', 'Service establishment']","5.0","18","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","","Open 24 hours"
"James Steeno Gallery","","0x88051b1a90681873:0xfc198b4b2246e050","","['Artist', 'Service establishment']","5.0","2","","[['Monday', '8:30AM–8PM'], ['Tuesday', '8:30AM–8PM'], ['Wednesday', '8:30AM–8PM'], ['Thursday', '8:30AM–8PM'], ['Friday', '8:30AM–8PM'], ['Saturday', '9AM–5PM'], ['Sunday', 'Closed']]","","Closed ⋅ Opens 8:30AM Tue"
"Lat & Lo | Coordinates Jewelry","","0x88e5b79e5f41b0fb:0xdbd5704aa85a7532","","['Jewelry store', 'Service establishment']","5.0","38","","","{'From the business': ['Identifies as women-led']}",""
"Coded Agency","","0x80c2beb6d338152d:0xb3c1f68a0ba35406","","['Public relations firm', 'Service establishment', 'Event planner', 'Image consultant', 'Marketing agency', 'Marketing consultant', 'Media consultant', 'Press advisory']","5.0","8","","[['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","{'From the business': ['Identifies as women-led']}","Closed ⋅ Opens 8AM Tue"
"RDC Marketing & Design","","0x88d905b83b16d81f:0x5fe7c5030027ef","","['Design agency', 'Service establishment', 'Graphic designer', 'Marketing agency', 'Marketing consultant', 'Website designer']","5.0","1","","[['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM'], ['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '8AM–6PM'], ['Sunday', 'Closed']]","","Closed ⋅ Opens 8AM Tue"
"Sozo Studio","","0x86e744f9b7dd0c53:0x8abeb27614d641ac","","['Hair salon', 'Service establishment']","4.7","28","","[['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–7PM'], ['Sunday', 'Closed']]","{'Planning': ['Appointments recommended']}","Open ⋅ Closes 7PM"
"WholeMade Reboot Program","","0x89e31687179c1971:0xf1c0726af262e228","","['Health consultant', 'Service establishment']","4.7","28","","[['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '12–5:30PM'], ['Thursday', 'Closed'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","","Permanently closed"
"Rachel Design Co","","0x89c67d6f8aa3c4e3:0x57816e10695103bf","","['Graphic designer', 'Service establishment']","5.0","1","","[['Monday', '11AM–6PM'], ['Tuesday', '11AM–6PM'], ['Wednesday', '11AM–6PM'], ['Thursday', '11AM–6PM'], ['Friday', '11AM–6PM'], ['Saturday', '11AM–3PM'], ['Sunday', 'Closed']]","","Closed ⋅ Opens 11AM"
"Quality Restorations LLC | Bathroom Remodel Anchorage","","0x56c89bb5e6c3f8f9:0x498f8d3cbd9fc5cd","","['Bathroom remodeler', 'Service establishment']","4.9","108","","[['Monday', '7AM–9PM'], ['Tuesday', '7AM–9PM'], ['Wednesday', '7AM–9PM'], ['Thursday', '7AM–9PM'], ['Friday', '7AM–9PM'], ['Saturday', '7AM–9PM'], ['Sunday', '7AM–9PM']]","","Closed ⋅ Opens 7AM"
"R&R Hardwood Floor Refinishing & Install","","0x89d30d2ffa56c4fd:0xac426c83b2b960ab","","['Wood floor installation service', 'Service establishment']","4.6","37","","[['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]","","Opens soon ⋅ 9AM"
"Urban Outlaw Boutique","","0x8091075d77223b41:0xe7d01e2d7772a521","","['Boutique', 'Service establishment']","3.2","8","","[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","{'From the business': ['Identifies as women-led'], 'Payments': ['Checks']}","Open 24 hours"
"Rainbow Bridge Culture Center","","0x89d3716275262df9:0x5bf4f106fee464b7","","['Art school', 'Service establishment', 'School']","3.7","6","","","",""
"ATLANOVA","","0x89c2594b9e7f1e03:0xaf76340c724d9292","","['Vitamin & supplements store', 'Service establishment']","5.0","38","","[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","{'Payments': ['Debit cards', 'Credit cards']}","Open 24 hours"
"Love Works Method","","0x80dc0b10bc5e42fb:0x158c5f01eba47122","","['Life coach', 'Service establishment']","5.0","14","","","",""
"SKATE GURU INC.","","0x80c29989aeee99ad:0x197dd179c1a72a3f","","['Skate shop', 'Service establishment', 'Sporting goods store', 'Store']","4.4","15","","[['Sunday', 'Closed'], ['Monday', '10AM–5PM'], ['Tuesday', '10AM–5PM'], ['Wednesday', '10AM–5PM'], ['Thursday', '10AM–5PM'], ['Friday', '10AM–5PM'], ['Saturday', 'Closed']]","{'Service options': ['Delivery'], 'Payments': ['Debit cards', 'Credit cards']}","Closed ⋅ Opens 10AM Mon"
"Interstellar Designz","","0x889169854e295c5b:0x8987113a1d277d35","","['Graphic designer', 'Advertising agency', 'Animation studio', 'Service establishment', 'Internet marketing service']","5.0","3","","[['Sunday', 'Closed'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","","Closed ⋅ Opens 12AM Mon"
"Sonimar Lozada Law Office","","0x65366110b4bb8589:0xba6a5e6a2c464a07","","['Legal services', 'Service establishment']","5.0","4","","[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '8:30AM–5PM'], ['Wednesday', '8:30AM–5PM'], ['Thursday', '8:30AM–5:30PM'], ['Friday', '8:30AM–3PM'], ['Saturday', 'Closed']]","","Closed ⋅ Opens 8:30AM Tue"
"Valiant Biker","","0x888ad7f4bcdd473d:0x9674df62e0837abf","","['Motorcycle shop', 'Clothing supplier', 'Clothing wholesaler', 'Service establishment', 'Leather goods store']","4.1","4","","[['Sunday', 'Closed'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', '10AM–3PM']]","","Closed ⋅ Opens 12AM Mon"
"MCProHosting - Minecraft Server Hosting","","0x89a9f3405c6ed5a9:0xe416edfb7db0b5fe","","['Web hosting company', 'Service establishment']","3.9","94","","[['Sunday', 'Open 24 hours'], ['Monday', 'Closed'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]","{'Service options': ['Online appointments'], 'Health & safety': ['Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits']}","Open ⋅ Closes 12AM"
"Guitar Gallery","","0x88644f76605b43ad:0x21146d72432f7f9","","['Guitar store', 'Service establishment']","4.4","8","","[['Sunday', 'Closed'], ['Monday', '10AM–4PM'], ['Tuesday', '10AM–4PM'], ['Wednesday', '10AM–4PM'], ['Thursday', '10AM–4PM'], ['Friday', '10AM–4PM'], ['Saturday', 'Closed']]","{'From the business': ['Identifies as women-led'], 'Service options': ['Delivery'], 'Payments': ['Debit cards', 'Credit cards']}","Closed ⋅ Opens 10AM Mon"
"Tribest Construction LLC","","0x89b708db6540136d:0xdef7a4ccda577359","","['General contractor', 'Service establishment', 'Remodeler']","4.0","3","","[['Saturday', '8AM–7PM'], ['Sunday', 'Closed'], ['Monday', '8AM–7PM'], ['Tuesday', '8AM–7PM'], ['Wednesday', '8AM–7PM'], ['Thursday', '8AM–7PM'], ['Friday', '8AM–7PM']]","","Closes soon ⋅ 7PM ⋅ Opens 8AM Mon"
"Self Love Solutions LLC","","0x89c3b5ed4f15020d:0xb2e68fe841e11d36","","['Beauty product supplier', 'Service establishment']","5.0","1","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","","Open 24 hours"
"OrangeDroppersTeam Young Living Essential Oils","","0x88620f65dbac09bf:0x9faf469430a7bd8c","","['Health and beauty shop', 'Service establishment']","4.3","7","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM']]","","Closed ⋅ Opens 8AM Mon"
"Dapper Xpressions","","0x87b21db27b804397:0x870aa4751606fc3","","['Fashion accessories store', 'Service establishment']","5.0","8","","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led']}","Closed ⋅ Opens 12AM Mon"
"Island Cleaning","","0x88e779c52062ada1:0xba880dc8334a1aa2","","['Apartment complex', 'Service establishment']","3.0","38","","[['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours']]","","Open 24 hours"
"Odessa Apartments","","0x80c298fde236285f:0x909139a34af6bb94","","['Apartment building', 'Service establishment']","4.7","3","","","",""
"Patrick Kaymar Photography","","0x89b63f5549cc8d37:0xde51cda83a6ef5c6","","['Photography service', 'Service establishment']","5.0","5","","[['Saturday', '9AM–8PM'], ['Sunday', '9AM–8PM'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM']]","","Closed ⋅ Opens 9AM"
"Pellets Inc","","0x5485a2d3c507ee2b:0xd0e286c742fa05f9","","['Educational supply store', 'Service establishment', 'Store']","5.0","5","","[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]","{'Service options': ['Delivery'], 'Payments': ['Debit cards', 'Credit cards']}","Open 24 hours"
"Build-A-Stone","","0x87f70b59b8c2f5e1:0x39c570306727d983","","['Concrete product supplier', 'Service establishment']","5.0","34","","[['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM']]","","Closed ⋅ Opens 8AM Mon"
"Brandex Journey","","0x88d9c1a5fae58541:0xb918a5b4c2ae0550","","['Physical fitness program', 'Service establishment']","5.0","8","","[['Friday', '7AM–7PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7AM–7PM'], ['Tuesday', '7AM–7PM'], ['Wednesday', '7AM–7PM'], ['Thursday', '7AM–7PM']]","","Closed ⋅ Opens 7AM Mon"
